# Gboard Dictionary version:2
# Gboard Dictionary format:shortcut	word	language_tag	pos_tag
haicaodezhongzi	「海草」的种子	zh-CN	
liulidaidezhongzi	「琉璃袋」的种子	zh-CN	
mingcaodezhongzi	「鸣草」的种子	zh-CN	
mogudebaoz	「蘑菇」的孢子	zh-CN	
hailingzhideyangben	「海灵芝」的样本	zh-CN	
kongquemu	孔雀木	zh-CN	
yujiamu	御伽木	zh-CN	
mengjianmu	梦见木	zh-CN	
fengmu	枫木	zh-CN	
fuyouganhe	浮游干核	zh-CN	
menlihuaxingjindehuazhong	「梦里花·星槿」的花种	zh-CN	
menlihuatanglingdehuazhong	「梦里花·棠铃」的花种	zh-CN	
menlihuaxiujiadehuazhong	「梦里花·绣荚」的花种	zh-CN	
xunshoubaoz	蕈兽孢子	zh-CN	
tuisehongchou	褪色红绸	zh-CN	
huimu	辉木	zh-CN	
yeguomu	业果木	zh-CN	
zhengwumu	证悟木	zh-CN	
piboye	毗波耶	zh-CN	
xiangxinguodezhongzi	「香辛果」的种子	zh-CN	
dunduntaodezhongzi	「墩墩桃」的种子	zh-CN	
xumiqiangweidezhongzi	「须弥蔷薇」的种子	zh-CN	
cikuimu	刺葵木	zh-CN	
chengmu	柽木	zh-CN	
niehechilun	啮合齿轮	zh-CN	
cuiningjing	萃凝晶	zh-CN	
xuanlingmu	悬铃木	zh-CN	
xiangbaimu	香柏木	zh-CN	
baichenmu	白梣木	zh-CN	
yihainingzhu	异海凝珠	zh-CN	
duanmu	椴木	zh-CN	
jum	炬木	zh-CN	
mojiegaodezhongzi	「茉洁草」的种子	zh-CN	
jiuyuliandezhongzi	「久雨莲」的种子	zh-CN	
roudenglingdezhongzi	「柔灯铃」的种子	zh-CN	
hongcaiqiangweidezhongzi	「虹彩蔷薇」的种子	zh-CN	
zhinendejianchi	稚嫩的尖齿	zh-CN	
weicongdemushao	卫从的木哨	zh-CN	
kuzhong	苦种	zh-CN	
jinxinhua	烬芯花	zh-CN	
kuzhongdezhongzi	「苦种」的种子	zh-CN	
langmoyusaidezongzi	「浪沫羽鳃」的种子	zh-CN	
zhuozhuocaijudezhongzi	「灼灼彩菊」的种子	zh-CN	
roulongzhangdezhongzi	「肉龙掌」的种子	zh-CN	
keliguodezhongzi	「颗粒果」的种子	zh-CN	
huihuiloulinmu	灰灰楼林木	zh-CN	
baililiangmu	白栗栎木	zh-CN	
ranbaomu	燃爆木	zh-CN	
taoyezimu	桃椰子木	zh-CN	
qingmimeidezhongzi	「青蜜莓」的种子	zh-CN	
yunyanlieyedezhongzi	「云岩裂叶」的种子	zh-CN	
mosundehiping	磨损的执凭	zh-CN	
hongdijing	虹滴晶	zh-CN	
suyinghua	宿影花	zh-CN	
yinlengshanmu	银冷杉木	zh-CN	
zhenmu	榛木	zh-CN	
xiaheliangmu	夏栎木	zh-CN	
qimu	桤木	zh-CN	
hanyongshi	寒涌石	zh-CN	
huisunjizhou	毁损机轴	zh-CN	
yeboshi	夜泊石	zh-CN	
shourou	兽肉	zh-CN	
tiantianhua	甜甜花	zh-CN	
huluobo	胡萝卜	zh-CN	
mogu	蘑菇	zh-CN	
songrong	松茸	zh-CN	
jueyunjiaojiao	绝云椒椒	zh-CN	
qinrou	禽肉	zh-CN	
hujiao	胡椒	zh-CN	
songguo	松果	zh-CN	
tudou	土豆	zh-CN	
guojiang	果酱	zh-CN	
yurou	鱼肉	zh-CN	
yan	盐	zh-CN	
jinyucao	金鱼草	zh-CN	
doufu	豆腐	zh-CN	
lianpeng	莲蓬	zh-CN	
niunai	牛奶	zh-CN	
tang	糖	zh-CN	
xingren	杏仁	zh-CN	
huotui	火腿	zh-CN	
peigen	培根	zh-CN	
xiangchang	香肠	zh-CN	
bohe	薄荷	zh-CN	
xiehuang	蟹黄	zh-CN	
naiyou	奶油	zh-CN	
juanxincai	卷心菜	zh-CN	
mianfen	面粉	zh-CN	
nailao	奶酪	zh-CN	
huangyou	黄油	zh-CN	
xiaren	虾仁	zh-CN	
fanqie	番茄	zh-CN	
yangcong	洋葱	zh-CN	
niaodan	鸟蛋	zh-CN	
shumei	树莓	zh-CN	
xiaomai	小麦	zh-CN	
bailuobo	白萝卜	zh-CN	
pangxie	螃蟹	zh-CN	
daomi	稻米	zh-CN	
dudulian	嘟嘟莲	zh-CN	
xunqinrou	熏禽肉	zh-CN	
luoluomei	落落莓	zh-CN	
saixiliyahua	塞西莉亚花	zh-CN	
xiaodengcao	小灯草	zh-CN	
mufengmogu	慕风蘑菇	zh-CN	
pugongyingzi	蒲公英籽	zh-CN	
gougouguo	钩钩果	zh-CN	
fengcheju	风车菊	zh-CN	
nichanghua	霓裳花	zh-CN	
liulibaihe	琉璃百合	zh-CN	
qingxin	清心	zh-CN	
xingluo	星螺	zh-CN	
liulidai	琉璃袋	zh-CN	
shipo	石珀	zh-CN	
pingguo	苹果	zh-CN	
riliaguo	日落果	zh-CN	
qiuqiuhaoyu	鳅鳅宝玉	zh-CN	
zhusun	竹笋	zh-CN	
mojingkuai	魔晶块	zh-CN	
qiyideyachi	奇异的「牙齿」	zh-CN	
lengxianrou	「冷鲜肉」	zh-CN	
jiquleshengminglidelongya	汲取了生命力的龙牙	zh-CN	
hailingzhi	海灵芝	zh-CN	
feiyingxiuqiu	绯樱绣球	zh-CN	
mingcao	鸣草	zh-CN	
haicao	海草	zh-CN	
jingua	堇瓜	zh-CN	
guidouchong	鬼兜虫	zh-CN	
jinghuaguigu	晶化骨髓	zh-CN	
xuehu	血斛	zh-CN	
tianyuncaoshi	天云草实	zh-CN	
manrou	鳗肉	zh-CN	
shanhuzhenzhu	珊瑚真珠	zh-CN	
youdengjun	幽灯蕈	zh-CN	
xingjun	星蕈	zh-CN	
shuwangshengtigu	树王圣体菇	zh-CN	
tutudou	秃秃豆	zh-CN	
yuelian	月莲	zh-CN	
jiebolian	劫波莲	zh-CN	
patishalan	帕蒂沙兰	zh-CN	
dunduntao	墩墩桃	zh-CN	
xumiqiangwei	须弥蔷薇	zh-CN	
xiangxinguo	香辛果	zh-CN	
xiangxinliao	香辛料	zh-CN	
kujiaodexingjun	枯焦的星蕈	zh-CN	
huohuadexingjun	活化的星蕈	zh-CN	
zaoye	枣椰	zh-CN	
shengjinchong	圣金虫	zh-CN	
chinanguo	赤念果	zh-CN	
shazhirong	沙脂蛹	zh-CN	
shenmiderou	神秘的肉	zh-CN	
shenmideroujiagongchanwu	神秘的肉加工产物	zh-CN	
kafeidou	咖啡豆	zh-CN	
wanxiangshi	万相石	zh-CN	
daolinghua	悼灵花	zh-CN	
roudengling	柔灯铃	zh-CN	
hongcaiqiangwei	虹彩蔷薇	zh-CN	
cangjingluo	苍晶螺	zh-CN	
hailuhua	海露花	zh-CN	
paopaoju	泡泡桔	zh-CN	
fajiaoguoshizhi	发酵果实汁	zh-CN	
xizao	汐藻	zh-CN	
mojiegao	茉洁草	zh-CN	
jiuyulian	久雨莲	zh-CN	
youguangxingxing	幽光星星	zh-CN	
zitancedanyuan	子探测单元	zh-CN	
huguanglinglan	湖光铃兰	zh-CN	
chuluzhiyuan	初露之源	zh-CN	
qingshuiyu	清水玉	zh-CN	
chenyuxianming	沉玉仙茗	zh-CN	
keliguo	颗粒果	zh-CN	
qingmimei	青蜜莓	zh-CN	
langmoyusai	浪沫羽鳃	zh-CN	
roulongzhang	肉龙掌	zh-CN	
zhusanmogu	烛伞蘑菇	zh-CN	
chengjingshi	澄晶实	zh-CN	
zhuozhuocaiju	灼灼彩菊	zh-CN	
kuyeziying	枯叶紫英	zh-CN	
weiguangjiaojun	微光角菌	zh-CN	
hongguoguogu	红果果菇	zh-CN	
yunyanlieye	云岩裂叶	zh-CN	
liulinshi	琉鳞石	zh-CN	
yueluoyin	月落银	zh-CN	
shuangzhanhua	霜盏花	zh-CN	
bianxiezhoucheng	便携轴承	zh-CN	
xiaheguo	夏槲果	zh-CN	
bailingguo	白灵果	zh-CN	
heimai	黑麦	zh-CN	
suannaiyou	酸奶油	zh-CN	
heimaiifen	黑麦粉	zh-CN	
donglingcao	冬凌草	zh-CN	
songpoxiang	松珀香	zh-CN
